Post Content,Post Type
Shoot illegal immigrants at the border. Spare no one.,Anti-Immigrant
They should all be executed in those ICE camps.,Anti-Immigrant
We need a final solution for the illegal invasion. #StopTheInvasion,Anti-Immigrant
"Kill them all, I don’t care if they’re kids or adults. #NoMercy",Anti-Immigrant
ICE should just line these invaders up and shoot them.,Anti-Immigrant
"If I see an illegal, I’ll shoot on sight. 💥",Anti-Immigrant
Those detention centers are too good for them; better to just gas them.,Anti-Immigrant
"Deportation? Nah, extermination is the answer.",Anti-Immigrant
These parasites deserve to die.,Anti-Immigrant
The only good illegal is a dead illegal.,Anti-Immigrant
Anyone crossing our border illegally should leave in a body bag.,Anti-Immigrant
Time to start shooting these cartel-run illegals. #SecondAmendment,Anti-Immigrant
We should treat illegal aliens like terrorists — shoot them on sight.,Anti-Immigrant
ICE is too soft; just execute every illegal you catch.,Anti-Immigrant
Put landmines on the border and blow those invaders to bits.,Anti-Immigrant
"Don’t detain them, kill them. Saves taxpayer money.",Anti-Immigrant
They are cockroaches. Exterminate every last one.,Anti-Immigrant
"Lock and load, it’s time for an immigrant purge.",Anti-Immigrant
"All illegals must die; this is our country, not theirs.",Anti-Immigrant
I volunteer to put a bullet in each illegal’s head myself.,Anti-Immigrant
Why waste time with trials? Just shoot illegal scum on sight.,Anti-Immigrant
I hope ICE starts publicly executing these illegals as a warning.,Anti-Immigrant
Filthy wetbacks are flooding in — time to start the culling.,Anti-Immigrant
"Grab your guns, it’s open season on illegals. #HuntThem",Anti-Immigrant
Bullets are the only border security that works. #ShootIllegals,Anti-Immigrant
Maten a todos esos malditos ilegales. (Kill all those damn illegals.),Anti-Immigrant
Es una invasión; hay que eliminar a los inmigrantes invasores. (It’s an invasion; we must eliminate those immigrant invaders.),Anti-Immigrant
"Disparen a los ilegales en cuanto crucen la frontera, ni uno vivo. (Shoot illegals as soon as they cross the border, leave none alive.)",Anti-Immigrant
Estos inmigrantes son parásitos; merecen la muerte. (These immigrants are parasites; they deserve death.),Anti-Immigrant
Odio a esos mojados; que mueran todos. (I hate those “wetbacks”; let them all die.),Anti-Immigrant
Shoot the ICE Nazis down like the rabid dogs they are.,Anti-ICE
Just get a gun and shoot the ICE Nazis down.,Anti-ICE
Shoot ICE gestapo dead.,Anti-ICE
"They come near me, and I shoot to kill. Be warned.",Anti-ICE
Get out your guns and shoot them down.,Anti-ICE
Kill those ICE pigs before they kill more innocents.,Anti-ICE
Every ICE agent deserves a bullet in the head.,Anti-ICE
Time to start hunting ICE agents. #FuckICE,Anti-ICE
ICE equals Nazis. Treat them the same way: shoot on sight.,Anti-ICE
"Burn down every ICE detention center, with the ICE thugs inside.",Anti-ICE
Someone should just bomb ICE headquarters already.,Anti-ICE
I have zero sympathy for ICE agents — shoot them all.,Anti-ICE
Let’s storm the ICE facilities and tear those agents to shreds.,Anti-ICE
No mercy for ICE scum. Kill on sight.,Anti-ICE
Bring guillotines for ICE agents. #Revolution,Anti-ICE
Dead ICE agents = justice served.,Anti-ICE
I dream of the day every ICE officer is six feet under.,Anti-ICE
Those who run ICE detention centers should be executed like the war criminals they are.,Anti-ICE
Make ICE afraid again — start eliminating them one by one.,Anti-ICE
We should treat ICE agents like rabid animals: put them down.,Anti-ICE
Time to raise the stakes — ICE heads on pikes.,Anti-ICE
Any ICE agent who raids homes deserves a bullet between the eyes.,Anti-ICE
"If you work for ICE, you deserve to die.",Anti-ICE
Violence is the only language ICE understands. Time to speak it.,Anti-ICE
I don’t condone violence; I encourage it against ICE.,Anti-ICE
"Malditos agentes de ICE, merecen morir. (Damned ICE agents, they deserve to die.)",Anti-ICE
Hay que matar a esos cerdos de ICE. (We have to kill those ICE pigs.),Anti-ICE
La migra es la Gestapo moderna; hay que eliminarlos a todos. (“La migra” (ICE) is the modern Gestapo; they must all be eliminated.),Anti-ICE
Odio a ICE con toda mi alma; ojalá se mueran todos. (I hate ICE with all my soul; I hope they all die.),Anti-ICE
Cada agente de ICE merece una bala. (Each ICE agent deserves a bullet.),Anti-ICE
